Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Josh Hazlewood,RCB,https://sports.ndtv.com/cricket/players/1040-josh-hazlewood-playerprofile,Bowler ,7.75,Josh Reginald Hazlewood,"January 8, 1991 Tamworth, New South Wales, Australia","31 Years, 2 Months, 7 Days",Australia,Left Handed,Right-arm fast medium,T20 International,27,6,4,21,13* v WI,0,0,2,1,10.50,161.53,4,0,2,0,27,102.4,2,772,40,4/12 v SL,4,0,19.30,7.51,15.40,27
Faf du Plessis,RCB,https://sports.ndtv.com/cricket/players/1579-faf-du-plessis-playerprofile,Batsman ,7.00,Francois du Plessis,"July 13, 1984 Pretoria, Transvaal","37 Years, 8 Months, 2 Days",South Africa,Right Handed,Leg break,T20 International,50,50,7,1528,119 v WI,1,10,140,50,35.53,134.38,24,0,0,3,2,1.2,0,3,0,0/0 v NZ,0,0,,2.25,,2
Mohammed Siraj,RCB,https://sports.ndtv.com/cricket/players/107503-mohammed-siraj-playerprofile,Bowler ,7.00,Mohammed Siraj,"March 13, 1994 Hyderabad","28 Years, 0 Months, 2 Days",India,Right Handed,Right-arm medium fast,T20 International,5,0,0,,,0,0,0,0,,0.00,1,0,0,0,5,20,0,209,5,1/22 v SL,0,0,41.80,10.45,24.00,5
Dinesh Karthik,RCB,https://sports.ndtv.com/cricket/players/666-dinesh-karthik-playerprofile,Wicket-Keeper ,5.50,Krishnakumar Dinesh Karthik,"June 1, 1985 Chennai, Tamil Nadu","36 Years, 9 Months, 14 Days",India,Right Handed,Off break,,32,26,14,399,48 v WI,0,0,42,15,33.25,143.52,14,5,3,0,,,,,,,,,,,,
Anuj Rawat,RCB,https://sports.ndtv.com/cricket/players/108579-anuj-rawat-playerprofile,Wicket-Keeper ,3.40,Anuj Rawat,"October 17, 1999 Ram Nagar, Uttarakhand","22 Years, 5 Months, -1 Days",India,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shahbaz Ahmed,RCB,https://sports.ndtv.com/cricket/players/51351-shahbaz-ahmed-playerprofile,All-Rounder ,2.40,Shahbaz Ahmed,"December 12, 1994 Mewat, Haryana","27 Years, 3 Months, 3 Days",India,Left Handed,Slow left-arm orthodox,T20 Domestic,9,9,2,283,54 v MBC,0,2,21,14,40.42,134.76,6,0,0,0,9,34,0,194,11,5/10 v MBC,0,1,17.63,5.70,18.54,9
David Willey,RCB,https://sports.ndtv.com/cricket/players/25633-dj-willey-playerprofile,All-Rounder ,2.00,David Jonathan Willey,"February 28, 1990 Northampton","32 Years, 0 Months, 15 Days",England,Left Handed,Left-arm fast medium,T20 International,32,21,8,182,29* v IND,0,0,10,11,14.00,132.84,15,0,2,2,32,106.5,0,854,38,4/7 v WI,5,0,22.47,7.99,16.86,32
Sherfane Rutherford,RCB,https://sports.ndtv.com/cricket/players/110388-sherfane-rutherford-playerprofile,All-Rounder ,1.00,Sherfane Eviston Rutherford,"August 15, 1998 ","23 Years, 7 Months, 0 Days",West Indies,Left Handed,Right-arm fast medium,T20 International,6,4,0,43,26 v IRE,0,0,1,3,10.75,119.44,1,0,0,0,2,6,0,49,1,1/21 v IRE,0,0,49.00,8.16,36.00,2
Mahipal Lomror,RCB,https://sports.ndtv.com/cricket/players/107234-mahipal-lomror-playerprofile,All-Rounder ,0.95,Mahipal Krishan Lomror,"November 16, 1999 Nagaur, Rajasthan","22 Years, 4 Months, 0 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finn Allen,RCB,https://sports.ndtv.com/cricket/players/113428-finn-allen-playerprofile,Batsman ,0.80,Finnley Hugh Allen,"April 22, 1999 Auckland","22 Years, 10 Months, 24 Days",New Zealand,Right Handed,,,6,6,0,156,71 v BAN,0,1,19,8,26.00,190.24,2,0,1,0,,,,,,,,,,,,
